common hits with log2fc >0.2 in all screens				
gene_name	log2fc (This study [A549 ACE2])	log2fc (This study [Calu-3])	log2fc (Daniloski et al. [A549 ACE2])	log2fc (Wang et al. [Vero E6])
MMP16	1.351398142	0.829666882	0.58293	0.67318
IL37	1.510290914	0.320478956	1.1827	0.40362
RLN2	1.876145866	0.761827854	0.25175	0.52734
C1GALT1C1	1.095587536	1.164522629	0.39503	0.75044
LRGUK	0.984471204	1.444671263	0.27936	0.67551
CDK17	1.263207383	1.561371687	0.35162	0.20677
TGIF2	1.881150902	0.354463165	0.40779	0.73327
SERPINI1	0.791485717	1.313571541	0.23739	1.0295
ITGB8	0.797908985	1.94918908	0.41806	0.20084
TMEM35	1.172704646	0.85204913	0.28498	1.0354
CA13	1.655382124	0.53196054	0.3163	0.83645
NOTCH3	1.25056034	1.020772653	0.50989	0.51252
GPR158	0.866241683	1.024967603	0.85926	0.53278
GALC	1.384289776	0.988854541	0.36528	0.52009
CORO2A	1.157785905	1.019386993	0.75687	0.3145
UMODL1	0.843184193	1.319718706	0.54768	0.53068
SLC25A33	1.13357871	0.634531663	0.82219	0.6486
LCAT	1.037260972	0.892036103	0.90665	0.39739
TMEM40	1.818733174	0.512332545	0.58894	0.30061
C9orf89	1.435383087	0.268862324	0.93665	0.57961
PTPN4	1.178859737	0.666967352	0.39346	0.95964
A2ML1	0.237569906	1.142754043	0.36777	1.3936
NQO1	0.273886399	1.507510485	0.61794	0.72434
LRTM1	0.987987056	1.300514689	0.29013	0.51019
PLXNA1	0.815039485	1.253993573	0.29907	0.71768
GPR143	1.385117904	0.953269291	0.32637	0.41362
SALL1	0.767489826	1.578069305	0.39043	0.33239
KCNAB3	0.564406834	1.416605439	0.45768	0.62765
GOLGA7	0.874713588	1.613813383	0.21434	0.3498
IRX3	0.912326171	0.881495595	0.77805	0.4591
DGKD	0.580033941	1.097378762	0.69782	0.63958
SPIN2B	0.225018182	1.714104573	0.20722	0.86561
EPHX3	0.628346326	0.378890567	1.3311	0.65387
MAGEB10	0.224135412	1.454348331	0.44279	0.85915
GABRR1	1.482909738	0.799967099	0.40276	0.25359
ALS2CR12	0.704732121	1.06701724	0.4879	0.65872
CYSLTR2	1.555811847	0.275636907	0.50876	0.56713
SERTAD4	1.897343885	0.272266054	0.23517	0.4721
ZDHHC23	0.868521828	1.22278919	0.49522	0.2738
SIVA1	1.51035475	0.213931141	0.42523	0.68608
CCDC85A	0.709589311	0.829748434	0.83298	0.45246
PVRL2	0.626592831	0.785441049	0.62873	0.78167
ZNF195	0.842984988	0.342389659	0.78829	0.83653
FAM46D	0.287437557	0.766576214	0.75116	0.98271
SPOCK3	0.712215627	0.339568089	0.92558	0.80353
SLC35G5	0.529270031	0.723645878	0.72002	0.76679
GPR108	1.42094562	0.378475064	0.385	0.55468
MACROD2	0.802193588	0.62428186	0.56999	0.73383
NBPF6	0.299926473	0.706016354	1.354	0.36858
RAB9A	1.280170351	1.012806339	0.20003	0.23033
CLIC4	1.484789155	0.282130114	0.53886	0.37304
ZNF227	0.212761964	0.633579917	0.74939	1.0799
MAP7D3	0.666980478	0.341490578	1.0255	0.6416
MTUS2	1.086400055	0.451182307	0.43871	0.69915
SEC24C	1.290667986	0.272444243	0.4001	0.69799
MS4A5	1.142366489	0.438863029	0.34387	0.73319
MAP7	1.071629621	0.352592107	0.54679	0.68104
UBAC2	0.62613006	1.025014821	0.51034	0.48841
MUC1	1.308114114	0.549833579	0.28864	0.48545
SLC15A2	1.214951828	0.376732628	0.59702	0.41905
HBE1	1.119399609	0.205985464	0.73603	0.53518
ZNF181	1.006075561	0.946092387	0.27164	0.3601
FAM104A	0.561209568	0.959797689	0.46692	0.59595
THSD7A	1.167125309	0.674136056	0.43007	0.30946
HHIPL2	1.001474913	0.235764467	0.77485	0.56819
DCN	0.774553677	0.939625335	0.37769	0.48263
SV2B	0.929217457	0.732816266	0.37779	0.51685
IL22	0.875639896	1.155209963	0.28836	0.23715
PPFIBP2	0.322998892	1.327296968	0.24656	0.65104
PROSER1	0.351017646	0.979088046	0.40738	0.79377
MST1R	0.88266782	0.80803702	0.50473	0.31555
CCDC11	0.885716757	0.680703512	0.55316	0.38765
GNA11	0.410776595	0.724361238	0.62778	0.74272
DPP6	1.246797453	0.683308641	0.30987	0.26317
THAP9	0.452175669	1.165630985	0.26853	0.60421
ERVMER34-1	0.58406636	0.878768104	0.62192	0.38955
ELOVL1	0.856096364	0.4120256	0.85058	0.35328
HTR4	1.115426256	0.589943831	0.21615	0.53319
C3orf52	1.184205681	0.291023888	0.50352	0.46483
FAM162B	1.177044076	0.349442839	0.61392	0.30046
ROCK2	0.874613572	0.570449151	0.37317	0.61975
F12	0.428638877	1.161254258	0.306	0.53675
DYNC2H1	0.678629037	0.435211306	0.44241	0.86708
SLC7A2	0.804754833	0.245356565	1.0335	0.33146
MTMR3	1.057427241	0.522314331	0.29507	0.53646
SMCR8	0.458520546	0.282449739	1.0923	0.56879
PHLDA3	1.19069109	0.3198504	0.37235	0.51651
ZNF558	0.646072436	1.099042497	0.27262	0.38076
FAM9B	0.744630228	0.990433141	0.21936	0.41001
SERPINA9	0.938198113	0.692575465	0.42109	0.29858
FAM20A	0.784204389	0.616604832	0.41559	0.53192
FCN1	0.841749524	0.652683727	0.55107	0.29084
GCH1	0.914372507	0.653328842	0.21432	0.55244
GPATCH1	0.732371091	0.226015188	0.91089	0.45526
KHDRBS2	0.335166492	0.5592561	0.87833	0.53206
CAPN13	0.424076555	0.520953085	0.50489	0.81822
ZNF449	0.418639042	0.544466954	0.54704	0.75278
EMC10	0.727785387	0.365633078	0.72965	0.43613
FAM114A2	0.324630321	1.291407114	0.37612	0.25476
COMP	0.552911539	0.645306102	0.46385	0.55723
HS2ST1	0.96255874	0.24573593	0.76638	0.24028
ARL13B	0.541423454	1.171783666	0.27218	0.20928
PHKG2	0.25993943	0.915879658	0.45686	0.54634
NR4A2	0.6086567	0.56887946	0.21285	0.77755
XKR6	0.639340264	0.755724444	0.34794	0.41381
TRUB1	0.224123078	0.637242135	0.80033	0.49077
PHF19	0.311349525	0.648846368	0.42741	0.75937
MBD3L2	0.689528932	0.409884562	0.5388	0.49161
DRD2	1.165922066	0.204455428	0.32873	0.43048
ALDH1A1	0.306312154	0.454382484	0.29221	1.0609
C9orf85	0.508144398	0.930694863	0.37985	0.27691
BCOR	0.375530409	0.246604516	0.32521	1.1166
SEZ6L2	0.763428742	0.389538365	0.32758	0.55907
ZNF114	0.617277131	0.473580227	0.42014	0.5173
RPRD1A	0.297112052	0.954116793	0.47218	0.29296
LOXL1	0.280214861	1.131606204	0.31594	0.28001
CD47	0.280102627	0.533857665	0.47642	0.71338
ALS2	0.387856228	0.517128525	0.67196	0.41318
DLG3	0.613048192	0.942014901	0.2008	0.22365
RNASE1	0.297846535	0.637620049	0.77576	0.25123
KIAA1614	0.980422976	0.333172371	0.27931	0.35142
DHRS2	0.414655048	0.804750539	0.29111	0.4334
WNT3	0.385792221	0.592505265	0.21432	0.74285
NDP	0.884071882	0.587932482	0.24742	0.2041
CAPN14	0.509689008	0.280183194	0.46839	0.65031
STYK1	0.399092312	0.415283764	0.47835	0.60955
ERP44	0.685321753	0.522895342	0.46225	0.2182
PRKCQ	0.663174076	0.27936392	0.54472	0.34089
SLITRK1	0.618619885	0.620549614	0.30776	0.26837
LDLRAP1	0.490669301	0.310663634	0.51289	0.49512
NUDT3	0.455360808	0.399108917	0.24131	0.68167
FAM53B	0.439196233	0.736017321	0.20894	0.38012
ATAD5	0.434116571	0.379558279	0.60065	0.31934
TMEM139	0.360161637	0.463604024	0.40221	0.50241
FAM189A1	0.267217686	0.572372409	0.47191	0.38541
CAPRIN2	0.317024371	0.471971177	0.23028	0.63172
SLC35D2	0.495739838	0.38255998	0.42418	0.29524
GCNT7	0.319288106	0.601772993	0.38365	0.27068
SMIM19	0.419027207	0.3978668	0.33778	0.37327
TERF2IP	0.460979164	0.243443321	0.25948	0.50759
CCDC147	0.349312945	0.294210906	0.44913	0.36827
G6PC3	0.322711392	0.450086334	0.2672	0.41786
SIRT3	0.273493145	0.236717116	0.34948	0.27633
