Gene	z-score (Schneider et al. [Huh7.5])	z-score (Wei et al. [Vero E6])	Rank
KPNA3	0.770690523	1.830289493	1.300490008
LZTR1	2.144228854	0.443128235	1.293678545
ESD	1.771849135	0.812181939	1.292015537
GLI2	1.594850773	0.988275456	1.291563115
AP1M2	0.982026331	1.595115751	1.288571041
CAPZA2	1.310351763	1.258585268	1.284468516
OGFR	1.97230495	0.593579029	1.28294199
MCHR1	1.716730579	0.843596848	1.280163713
USP3	1.137577933	1.419750777	1.278664355
MPND	2.059976703	0.497155836	1.27856627
PYGO2	1.619982713	0.93569779	1.277840251
TXNDC2	1.915390262	0.636423271	1.275906766
ALG6	2.185091905	0.362387475	1.27373969
TP53	0.458994393	2.085693937	1.272344165
TNPO1	1.729978741	0.81305395	1.271516346
FBXO28	1.117135813	1.421373209	1.269254511
PPARA	1.641688244	0.891694532	1.266691388
IL33	1.644105409	0.885558585	1.264831997
ATP7A	1.610708852	0.917681873	1.264195362
MAP3K4	0.949269922	1.567289296	1.258279609
KLHL14	1.25394811	1.259649334	1.256798722
ELOVL5	1.994241951	0.516749348	1.255495649
STUB1	1.463242962	1.04752572	1.255384341
CAPRIN1	1.688172857	0.822321175	1.255247016
MAGEB2	1.536246432	0.972020123	1.254133277
CLEC16A	2.178839406	0.321578074	1.25020874
CBX7	1.407153977	1.088365961	1.247759969
RREB1	1.074563551	1.420305639	1.247434595
GPCPD1	1.736698145	0.751041065	1.243869605
PLEKHA8	2.053144875	0.431078889	1.242111882
GNG5	1.976216153	0.5071112	1.241663677
NOTCH2	1.472001411	1.004511381	1.238256396
ZMIZ1	1.560902764	0.913736597	1.23731968
PITPNB	1.786882358	0.680992749	1.233937553
SHOX	0.877119982	1.586564664	1.231842323
ZNF446	1.337793899	1.124134528	1.230964213
APOBEC3C	2.115245254	0.335397196	1.225321225
TRMT44	1.850881447	0.596437421	1.223659434
CAPN2	1.88762559	0.551947348	1.219786469
SMARCAD1	1.114812689	1.323880129	1.219346409
APLP2	1.786821232	0.651768278	1.219294755
EIF4G3	0.830854224	1.5989262	1.214890212
IFIT1B	1.361730789	1.063444939	1.212587864
IQCB1	1.135864712	1.288947635	1.212406174
TBX1	1.934143245	0.490362925	1.212253085
ANKS3	0.675715888	1.743433932	1.20957491
CYP2D6	1.815958551	0.597748847	1.206853699
OAT	1.953216877	0.458044421	1.205630649
MAPK14	1.002689622	1.406194761	1.204442191
PIK3CA	1.514022105	0.893353587	1.203687846
TARBP1	1.685889785	0.719044269	1.202467027
NUCKS1	1.394177266	1.009329146	1.201753206
RAB41	0.638206105	1.760196995	1.19920155
HERC1	1.89598104	0.501215088	1.198598064
ZCCHC4	1.143939099	1.251657798	1.197798448
TRAPPC13	2.062067017	0.333158453	1.197612735
ARNT	0.801959552	1.592592393	1.197275973
BLZF1	1.425903163	0.967768486	1.196835825
KDM5D	0.620364201	1.771949115	1.196156658
XK	1.113023681	1.267580102	1.190301892
COG5	1.983487245	0.393798334	1.188642789
CTBP1	2.059993122	0.316891193	1.188442157
YIPF4	1.872970259	0.503307952	1.188139106
S100A16	1.158399171	1.215364663	1.186881917
PAK3	1.665826126	0.705445088	1.185635607
MGAT4D	1.526795483	0.8434464	1.185120942
CHST14	1.294005275	1.071944147	1.182974711
MBNL3	1.806940834	0.558031585	1.18248621
LELP1	1.432912038	0.918322218	1.175617128
SH3BGRL	2.017259807	0.331608393	1.1744341
UPK3A	1.777116444	0.570801555	1.173958999
PARD3	1.134140303	1.211911076	1.17302569
IFNL1	1.348632596	0.993739601	1.171186098
SH3GLB1	1.374103213	0.967761167	1.17093219
FTO	1.48531234	0.851818713	1.168565526
MLIP	0.671304193	1.665079421	1.168191807
EVI5	1.366610905	0.966048744	1.166329825
ISM2	1.325670013	1.006443725	1.166056869
PIM3	1.516522513	0.813868357	1.165195435
SMIM12	1.010233514	1.317026373	1.163629943
CDKN1B	1.02159101	1.305158229	1.163374619
GPR143	1.476780242	0.848492163	1.162636203
AXIN1	1.267822587	1.0541253	1.160973943
ATE1	1.842002487	0.479110382	1.160556435
LDLRAD2	1.706829132	0.612944584	1.159886858
GOLGA6L2	1.9788142	0.340894531	1.159854365
CLDN5	1.987504355	0.329228296	1.158366326
VSNL1	1.303792543	1.011512713	1.157652628
SLC9B2	1.223945976	1.084746256	1.154346116
DMC1	1.343071113	0.96445855	1.153764832
NRROS	1.549662187	0.756706925	1.153184556
GTSCR1	1.208282815	1.097599146	1.152940981
NFAM1	1.584070556	0.719037646	1.151554101
ALB	1.360314013	0.942457999	1.151386006
KDM4B	1.781728401	0.518224196	1.149976299
MOV10L1	1.292798504	1.005967722	1.149383113
SLC4A4	0.813656996	1.482943622	1.148300309
CCDC157	1.779948683	0.505557747	1.142753215
XKR3	1.916196413	0.36744634	1.141821377
G3BP1	1.429713459	0.849432095	1.139572777
ITGB8	0.949319105	1.329177895	1.1392485
RD3L	1.364481476	0.912073615	1.138277546
WASL	1.454231607	0.818748624	1.136490115
PRR22	1.103643709	1.166510925	1.135077317
TAGAP	1.440390783	0.82516995	1.132780367
HPGD	0.907561757	1.357637081	1.132599419
PTPRH	1.301272542	0.962264495	1.131768519
NUDCD2	0.895755414	1.356482713	1.126119064
SCAF8	1.923052165	0.326620343	1.124836254
TBC1D14	1.497671032	0.75141465	1.124542841
KCNH1	1.340017029	0.908762196	1.124389613
SUCNR1	1.714521605	0.526286513	1.120404059
AMMECR1	1.253987183	0.98647883	1.120233006
RAB2A	1.607308201	0.631936256	1.119622229
NRP1	0.773837374	1.46435737	1.119097372
SMTN	0.998999405	1.237396619	1.118198012
ARID4A	1.466373181	0.767366294	1.116869737
LMOD1	1.24655071	0.982507796	1.114529253
BCL9L	1.053445949	1.174761684	1.114103816
OPCML	1.866823987	0.359750457	1.113287222
SDC4	1.522729401	0.701749117	1.112239259
FAM177B	1.254432296	0.966336375	1.110384336
PTPRT	1.210417232	1.008529823	1.109473527
SERPINI2	1.231883358	0.985762312	1.108822835
CTSB	1.274371256	0.942580216	1.108475736
ASCC1	1.038034658	1.170528613	1.104281635
ZNF516	1.545819112	0.662577177	1.104198144
TVP23B	1.404192936	0.804178238	1.104185587
RPS6KA2	0.948224133	1.259653915	1.103939024
SORT1	1.701039562	0.503804994	1.102422278
CAMSAP3	1.44569784	0.758246261	1.10197205
DNAI1	0.792166566	1.410586669	1.101376618
NME3	1.783355125	0.413001351	1.098178238
SLCO3A1	1.23935598	0.954243676	1.096799828
SLC13A5	1.147910274	1.043001537	1.095455906
CRYBB1	1.764681386	0.424613101	1.094647244
IFNAR2	0.909277519	1.278570804	1.093924161
TEX33	1.675308576	0.50786451	1.091586543
ANP32B	0.440383471	1.741322043	1.090852757
WFDC10B	0.427666639	1.748826477	1.088246558
FAM207A	1.432224236	0.74026602	1.086245128
SLFNL1	0.986732084	1.182451363	1.084591724
FAM135B	1.400217051	0.76883545	1.084526251
WDR53	0.965299493	1.20289761	1.084098551
TXNDC15	0.987304534	1.180218428	1.083761481
TSNAXIP1	1.512743261	0.654417921	1.083580591
CACNG2	1.650003341	0.515488871	1.082746106
MEIS2	1.530199894	0.634769065	1.08248448
SPPL3	1.717421572	0.447111995	1.082266784
ARMCX4	1.26826912	0.895430912	1.081850016
EFCAB6	1.649073723	0.514087461	1.081580592
CGNL1	1.002733164	1.156613461	1.079673312
ARF1	1.767483538	0.390195249	1.078839393
HYAL2	0.921861462	1.232695686	1.077278574
BCL2L13	1.697508912	0.453847083	1.075677998
COL6A1	1.407221944	0.74351859	1.075370267
SIM2	0.99832454	1.15105884	1.07469169
ZFC3H1	1.560189031	0.589105641	1.074647336
ZNRF4	1.348081292	0.800658061	1.074369676
ACVR1	1.691547956	0.451899565	1.07172376
FTSJ1	0.754554168	1.388315314	1.071434741
CDKN2B	1.292187441	0.847643427	1.069915434
CFAP97	1.509837798	0.62469817	1.067267984
CACNA1I	1.786113273	0.347059277	1.066586275
PTPRD	1.638064775	0.493867421	1.065966098
KLC4	1.054790687	1.076827651	1.065809169
PATE1	1.318220691	0.811037368	1.064629029
FBXO45	0.879720704	1.248353228	1.064036966
IRF2	0.862798005	1.264965267	1.063881636
TRIM36	1.776351204	0.351257917	1.063804561
XPNPEP2	1.592921024	0.532253829	1.062587427
SLAMF1	0.48216235	1.642403034	1.062282692
IGSF1	0.998042975	1.122376386	1.060209681
RHBDD3	1.356872165	0.76190683	1.059389497
GSKIP	1.711056544	0.407649565	1.059353055
CCNG2	0.973437741	1.142341674	1.057889708
PI4K2B	0.712586871	1.402081508	1.05733419
DEPDC1	1.230115834	0.87950449	1.054810162
ITM2B	0.880867316	1.228066858	1.054467087
CD27	1.089288452	1.018716287	1.05400237
SLC30A10	0.938283906	1.168741712	1.053512809
ADAMTS18	0.86433575	1.236933012	1.050634381
LGI1	1.3815392	0.717571957	1.049555578
MCOLN3	1.457737221	0.638555703	1.048146462
DCAF11	1.172247847	0.922168807	1.047208327
EDA	1.38818234	0.704952549	1.046567444
BRK1	1.504909936	0.587783084	1.04634651
SSX2IP	1.439222241	0.652876408	1.046049325
RHOXF1	0.731705645	1.358866872	1.045286259
EFNA1	1.749275687	0.338349243	1.043812465
RALGAPA2	1.66016968	0.422870894	1.041520287
CCDC96	0.864355829	1.216639561	1.040497695
SEL1L3	0.975985447	1.104464155	1.040224801
CSN1S1	1.082866609	0.995825818	1.039346213
HELZ	0.470043819	1.608455254	1.039249537
PRAP1	1.329560871	0.747144701	1.038352786
NUP35	1.394008401	0.682640457	1.038324429
SELL	1.598640574	0.477390699	1.038015636
HAVCR2	0.811371397	1.260026099	1.035698748
ADGRA3	1.224983479	0.840712585	1.032848032
RAB36	1.376789184	0.687873057	1.032331121
SLC10A7	1.715443786	0.347642173	1.031542979
CTSC	1.206629861	0.85198967	1.029309766
ERG	0.531977227	1.526464409	1.029220818
CCDC127	1.075680461	0.982456802	1.029068632
ACSM6	0.583981385	1.473079908	1.028530646
TPRA1	0.687525586	1.369441776	1.028483681
EPOR	1.298261988	0.756068705	1.027165347
DGKD	0.543542211	1.510752433	1.027147322
ADAM10	1.653874216	0.400119212	1.026996714
RPP14	1.743985043	0.30909594	1.026540491
MAML1	0.888172458	1.164881183	1.026526821
MXRA8	1.309592818	0.738726696	1.024159757
CCM2L	0.681744476	1.366516305	1.024130391
ZNF786	1.015206718	1.031579949	1.023393334
TOMM7	1.291536309	0.754947273	1.023241791
FHIT	1.176983963	0.86818206	1.022583011
TIFA	0.850182089	1.194183148	1.022182619
PAX9	0.550823916	1.493099206	1.021961561
RAB26	0.807540175	1.230346705	1.01894344
TXLNG	0.856895232	1.179975545	1.018435388
MXD4	1.537011241	0.499707592	1.018359416
MYH14	0.59664248	1.439650273	1.018146376
CBLN2	0.349629514	1.686008026	1.01781877
FNDC1	0.927534802	1.107976824	1.017755813
GOLT1B	1.544603326	0.490694089	1.017648707
NNMT	0.980081459	1.051852962	1.01596721
MAPKAPK2	1.223469642	0.803711315	1.013590478
SOX12	0.846370979	1.180324216	1.013347598
SMCO4	1.305717655	0.715535018	1.010626336
PAFAH1B2	1.669915337	0.350968145	1.010441741
DDX58	0.911824763	1.100683328	1.006254046
SCARA3	0.466498954	1.545219818	1.005859386
S100A8	1.467364695	0.543938755	1.005651725
H1F0	1.427140115	0.583552303	1.005346209
BEND5	1.575758252	0.431799729	1.003778991
BBS4	1.417999771	0.589527845	1.003763808
MED28	1.674493489	0.332989308	1.003741399
TRIM77	0.989283864	1.018011978	1.003647921
ANKS1B	0.898726939	1.108352854	1.003539896
PBX1	1.171560527	0.834314146	1.002937337
PCMTD1	0.891597212	1.113161082	1.002379147
ZNF567	0.834926622	1.168176694	1.001551658
RPS4Y1	1.043035435	0.959880572	1.001458003
ARHGDIG	1.621003031	0.381763238	1.001383134
APBB1IP	0.971578493	1.031148643	1.001363568
MAPK11	1.278885915	0.717804922	0.998345419
GRPR	0.765762419	1.230408298	0.998085359
IGIP	0.759798489	1.23499775	0.99739812
TTC26	0.944756965	1.049826179	0.997291572
S100A3	0.790442093	1.203434125	0.996938109
KIAA0895L	1.295678769	0.697016705	0.996347737
SQLE	1.379445513	0.611729539	0.995587526
RGS1	1.342117577	0.647853525	0.994985551
CLCA4	1.387973115	0.600610879	0.994291997
CTSV	1.098815992	0.889438774	0.994127383
ST6GALNAC1	0.798594351	1.187404576	0.992999464
SOX5	0.875511812	1.109735727	0.99262377
SPACA5	0.905403852	1.07932347	0.992363661
TRIM63	0.456753458	1.525191186	0.990972322
FMR1NB	1.114103134	0.866584985	0.99034406
ZNF395	0.563505788	1.417087937	0.990296862
PRDM9	0.535937806	1.442918687	0.989428247
RGS16	1.329010099	0.645034783	0.987022441
FGGY	1.113347179	0.860021416	0.986684297
ELMOD1	1.313240412	0.659654533	0.986447472
PAQR9	1.65902761	0.313854576	0.986441093
IKBKE	1.25663196	0.715626604	0.986129282
KRTAP25-1	1.456784899	0.514265617	0.985525258
CRB3	1.058743311	0.910953493	0.984848402
THPO	1.58297098	0.386295131	0.984633055
CHD6	0.511876245	1.453144985	0.982510615
PIGZ	0.508795766	1.455901328	0.982348547
ZHX3	1.28056303	0.679098492	0.979830761
RASSF10	1.144086691	0.81540206	0.979744376
CNN1	0.564968225	1.394421504	0.979694864
NPVF	1.360710382	0.597371977	0.979041179
FLVCR2	0.913120586	1.043646101	0.978383344
SSMEM1	1.49419606	0.462179899	0.97818798
KRTAP27-1	1.398430088	0.557420223	0.977925156
TMEM222	1.085085469	0.866732577	0.975909023
PLEKHG3	0.66285262	1.288323414	0.975588017
TLE3	0.842084226	1.10802988	0.975057053
VMAC	1.494408778	0.452405827	0.973407303
ZMAT3	0.741289744	1.205459734	0.973374739
TNFRSF13C	1.083448337	0.861937353	0.972692845
VPS16	0.407095918	1.537518811	0.972307364
ARHGEF18	1.303438642	0.640125866	0.971782254
RNASE7	0.628178815	1.314712426	0.97144562
NCK1	0.949904902	0.992120154	0.971012528
SUV39H2	0.642830869	1.297750313	0.970290591
TCEAL2	0.836448033	1.1041194	0.970283716
LEFTY1	1.294550662	0.645089524	0.969820093
HGH1	1.383697952	0.552759188	0.96822857
PDE8A	1.277117665	0.659195971	0.968156818
PRKAR1A	0.890755977	1.04532888	0.968042429
JAM3	0.898505063	1.037291426	0.967898245
SIRT1	0.739311759	1.196227798	0.967769779
ABHD17A	1.144869661	0.789871395	0.967370528
PLAG1	1.211020083	0.723423512	0.967221797
MESP1	0.897875118	1.034907694	0.966391406
ZNF827	1.541382255	0.391082173	0.966232214
CD3D	1.066134427	0.865775064	0.965954746
MTHFSD	0.896896588	1.03301248	0.964954534
FBLN1	1.204067654	0.725585792	0.964826723
RORB	1.459831801	0.46948363	0.964657716
PIK3C2B	1.037969405	0.886908886	0.962439145
CCDC68	1.185081493	0.739633187	0.96235734
CRABP1	0.875277491	1.048886306	0.962081898
AOAH	0.958907326	0.965229137	0.962068231
TRIM3	1.334697255	0.589203579	0.961950417
NMNAT1	1.188766938	0.734405642	0.96158629
MBD1	0.457362412	1.465632127	0.96149727
TFF2	1.475985535	0.445647878	0.960816707
NRM	1.452765399	0.468252756	0.960509078
NR2E1	1.192732426	0.727683677	0.960208052
JMJD4	1.12169429	0.797044988	0.959369639
BTG2	0.477666001	1.436310054	0.956988027
RAG2	1.217484598	0.695938229	0.956711414
SMIM13	0.883690242	1.025589756	0.954639999
DECR2	0.790391751	1.116606128	0.953498939
MSH2	0.916514861	0.99023227	0.953373566
CPE	1.161631182	0.745012302	0.953321742
ERGIC2	1.101093844	0.805272065	0.953182954
IFI16	1.592579195	0.311626414	0.952102805
CLDN23	0.773075317	1.131102454	0.952088885
LRIG3	1.042779149	0.85779082	0.950284985
SLC25A31	0.805665395	1.094210327	0.949937861
F11	0.952612707	0.945147445	0.948880076
KLHDC9	0.400830958	1.496569831	0.948700395
MTCL1	0.637440524	1.256522651	0.946981588
RIBC2	0.966478498	0.924516747	0.945497623
ZNF711	1.074514153	0.816180722	0.945347437
RNF215	1.351963767	0.537237676	0.944600721
NDUFV3	1.396251694	0.490480672	0.943366183
PDHB	1.157783365	0.728378416	0.943080891
DAPK1	1.401874697	0.482875397	0.942375047
FGD4	1.458115582	0.426234797	0.942175189
BRCC3	1.319777669	0.564092389	0.941935029
GCSAM	0.704580285	1.178662377	0.941621331
CDH12	1.383436005	0.499582499	0.941509252
SLC39A1	1.063271702	0.81932434	0.941298021
GPSM3	1.198233825	0.683900059	0.941066942
TCF7L2	0.440712209	1.439252418	0.939982314
CLEC2B	1.060053432	0.817490137	0.938771784
HCFC1R1	1.481024251	0.394101914	0.937563083
PTCHD3	0.991760671	0.882584606	0.937172639
KANK1	0.883619319	0.989875259	0.936747289
ST3GAL4	0.924342565	0.948320992	0.936331779
CILP	1.507547023	0.364136914	0.935841969
DYNLRB2	1.371404539	0.49929398	0.93534926
RNF6	0.731295679	1.136231127	0.933763403
TRADD	0.357826212	1.509058048	0.93344213
TIRAP	0.902009498	0.9641759	0.933092699
FGD2	0.763083896	1.101834608	0.932459252
APH1B	0.511916068	1.349200598	0.930558333
CPEB1	1.494201566	0.365862586	0.930032076
NEO1	0.894399016	0.964063708	0.929231362
WNT9A	1.167309307	0.689111263	0.928210285
FAM71F2	1.251943319	0.602189013	0.927066166
GLRB	0.933811927	0.91776528	0.925788604
CCDC78	1.249131448	0.599741549	0.924436498
CNIH3	1.209594085	0.63676026	0.923177173
WNT8B	0.620782942	1.225363668	0.923073305
KIDINS220	1.466779934	0.378929424	0.922854679
ADGRE1	0.827201525	1.016915317	0.922058421
LONP2	1.462449131	0.381118744	0.921783938
MBP	1.143161724	0.700164451	0.921663088
UBE2Q1	0.505736938	1.337323166	0.921530052
CSGALNACT2	0.600803173	1.239266212	0.920034693
SETSIP	1.295063997	0.544379744	0.91972187
MPC1	0.927581312	0.911849558	0.919715435
PTHLH	0.797270386	1.041143215	0.919206801
CTNS	1.383265859	0.453280701	0.91827328
DRP2	0.900080359	0.936385167	0.918232763
AHCY	1.126407611	0.70889316	0.917650386
PSCA	0.908801042	0.92626521	0.917533126
SPOCK3	1.10816489	0.72634168	0.917253285
TEX36	0.789702689	1.042300429	0.916001559
FGFBP1	0.643151015	1.188817848	0.915984431
PDZK1	0.89571246	0.935371882	0.915542171
TXNRD3	0.697118983	1.133487851	0.915303417
RASD1	0.610556463	1.218201186	0.914378824
CD55	0.876147851	0.951161475	0.913654663
OTUD7A	1.509862721	0.316339132	0.913100927
SMIM24	1.088980604	0.736883949	0.912932277
FAM9A	0.88420262	0.941211131	0.912706876
AMOT	0.918047106	0.904206081	0.911126594
NUP210L	0.877359014	0.944412185	0.9108856
DIO2	1.339130644	0.478875934	0.909003289
MFSD2A	1.117372406	0.698380637	0.907876522
PEX11G	0.860421114	0.954535406	0.90747826
ZNF354C	1.388418396	0.425909743	0.907164069
MS4A1	1.247699009	0.565872276	0.906785643
KLHL5	1.298906597	0.512059156	0.905482876
STC1	0.841464223	0.968843826	0.905154025
KIRREL3	0.695073011	1.115157138	0.905115075
F7	1.085752961	0.724336175	0.905044568
TIMP3	1.341885711	0.467945759	0.904915735
CLSTN1	0.699944098	1.1097398	0.904841949
CLUL1	0.704949627	1.10470842	0.904829024
TCHHL1	0.871325832	0.938139278	0.904732555
AKAP13	1.281469096	0.527935332	0.904702214
DOCK9	1.328475961	0.479446607	0.903961284
SCAMP5	1.352610748	0.455293961	0.903952355
SMCO2	1.340588682	0.466163696	0.903376189
UCP3	0.533576225	1.271561111	0.902568668
GSDMD	0.518988648	1.285792289	0.902390468
DOCK8	1.399648073	0.404460726	0.902054399
HOMEZ	1.001302336	0.802160563	0.901731449
SBF2	1.247934259	0.555012515	0.901473387
MAMDC2	1.217392239	0.584913908	0.901153074
ETAA1	0.57811071	1.222847071	0.90047889
TBCEL	0.639294145	1.16144827	0.900371208
RALBP1	1.025362782	0.775259633	0.900311208
PRSS48	0.3267869	1.473742113	0.900264507
GZF1	1.433312712	0.367018645	0.900165678
ZSCAN29	0.882730178	0.917303909	0.900017044
ANXA9	1.084027897	0.715909339	0.899968618
FGF8	0.951858207	0.846773031	0.899315619
QPCT	0.866683998	0.930877609	0.898780803
TMLHE	0.989900077	0.805617281	0.897758679
FAM43B	1.30897396	0.486134419	0.89755419
TAS2R40	1.399248689	0.395595583	0.897422136
ZNF660	0.672220727	1.121700548	0.896960637
SLC13A4	1.083508285	0.708786878	0.896147581
ARMCX2	0.5224253	1.269428369	0.895926834
KIAA1522	1.124213722	0.664147433	0.894180577
DPP7	1.017698162	0.770658676	0.894178419
TMEM39B	1.209885818	0.577808344	0.893847081
ARID1B	0.728870194	1.058806256	0.893838225
CPA5	0.605512244	1.180827208	0.893169726
UNC93A	0.832181022	0.953313969	0.892747496
CXCR5	0.82246938	0.961548671	0.892009025
SYT16	1.047458492	0.736412261	0.891935376
XIRP1	0.736746733	1.0462014	0.891474066
FLYWCH2	1.01672108	0.765960488	0.891340784
TCTEX1D2	0.557913764	1.224043771	0.890978768
TLDC2	1.289527353	0.49189302	0.890710187
ARID4B	0.327708543	1.452106791	0.889907667
DCAF17	1.412696569	0.367007634	0.889852101
NISCH	0.620226957	1.158015458	0.889121207
METTL2A	1.094544515	0.683474214	0.889009364
UCP1	0.506775028	1.271118176	0.888946602
ICMT	0.465363256	1.312109662	0.888736459
ASPHD2	1.435926306	0.340589331	0.888257818
F13A1	1.256713852	0.519340432	0.888027142
ZNF721	0.528423054	1.246754198	0.887588626
FAM189A2	1.118086205	0.655486426	0.886786315
ADAMTS1	0.598348275	1.174114405	0.88623134
ARNTL2	1.401031311	0.370333989	0.88568265
FAM98A	0.978486109	0.792093566	0.885289838
SSTR3	1.386780742	0.383604522	0.885192632
ZFY	1.166730058	0.602944675	0.884837366
RNF144B	0.71286999	1.056745496	0.884807743
NXN	0.78290027	0.98559461	0.88424744
ZFP82	0.664200467	1.104120208	0.884160338
CDR1	0.758309866	1.006981723	0.882645794
