Geneid	gene_name	log2fc	p.value	fdr	significant
ENSG00000100902	PSMA6	-6.926232731387055	4.543341635212494e-9	1.2122784280500276e-6	significant
ENSG00000101146	RAE1	-7.237515461847614	4.543341635212494e-9	1.2122784280500276e-6	significant
ENSG00000101161	PRPF6	-6.9693648095435785	5.0817484477748995e-9	1.2122784280500276e-6	significant
ENSG00000101361	NOP56	-6.967724113628099	7.926785733846252e-9	1.2122784280500276e-6	significant
ENSG00000103035	PSMD7	-6.724202497122012	7.926785733846252e-9	1.2122784280500276e-6	significant
ENSG00000103047	TANGO6	-6.857821051626708	7.926785733846252e-9	1.2122784280500276e-6	significant
ENSG00000103168	TAF1C	-7.624125550574687	5.682038851223568e-9	1.2122784280500276e-6	significant
ENSG00000104129	DNAJC17	-7.923183122489313	3.24027213570746e-9	1.2122784280500276e-6	significant
ENSG00000104147	OIP5	-6.800885261618285	7.926785733846252e-9	1.2122784280500276e-6	significant
ENSG00000104299	INTS9	-7.403758790578227	5.0817484477748995e-9	1.2122784280500276e-6	significant
ENSG00000106105	GARS	-7.229665759054917	4.543341635212494e-9	1.2122784280500276e-6	significant
ENSG00000106290	TAF6	-7.151994849353193	6.3510937387086085e-9	1.2122784280500276e-6	significant
ENSG00000106588	PSMA2	-7.136408888774359	6.3510937387086085e-9	1.2122784280500276e-6	significant
ENSG00000108559	NUP88	-6.778426987508079	6.3510937387086085e-9	1.2122784280500276e-6	significant
ENSG00000110700	RPS13	-7.369743974482007	3.24027213570746e-9	1.2122784280500276e-6	significant
ENSG00000111231	GPN3	-6.663811863770995	5.682038851223568e-9	1.2122784280500276e-6	significant
ENSG00000111358	GTF2H3	-6.837571643231471	7.09653184113775e-9	1.2122784280500276e-6	significant
ENSG00000111602	TIMELESS	-6.587565154518456	7.926785733846252e-9	1.2122784280500276e-6	significant
ENSG00000111667	USP5	-7.134152649242968	6.3510937387086085e-9	1.2122784280500276e-6	significant
ENSG00000112081	SRSF3	-6.9402359586056965	6.3510937387086085e-9	1.2122784280500276e-6	significant
ENSG00000112701	SENP6	-6.9836501969581875	4.543341635212494e-9	1.2122784280500276e-6	significant
ENSG00000113460	BRIX1	-7.1446695970709015	4.543341635212494e-9	1.2122784280500276e-6	significant
ENSG00000113810	SMC4	-6.969326439400192	6.3510937387086085e-9	1.2122784280500276e-6	significant
ENSG00000115211	EIF2B4	-6.710342586251131	7.926785733846252e-9	1.2122784280500276e-6	significant
ENSG00000116922	C1orf109	-7.409792811154342	5.682038851223568e-9	1.2122784280500276e-6	significant
ENSG00000119203	CPSF3	-7.801044300057161	7.926785733846252e-9	1.2122784280500276e-6	significant
ENSG00000119616	FCF1	-7.350296847897203	7.09653184113775e-9	1.2122784280500276e-6	significant
ENSG00000121022	COPS5	-8.436906369558292	3.24027213570746e-9	1.2122784280500276e-6	significant
ENSG00000121350	PYROXD1	-6.882026577477541	7.926785733846252e-9	1.2122784280500276e-6	significant
ENSG00000122692	SMU1	-7.785128802411913	7.926785733846252e-9	1.2122784280500276e-6	significant
ENSG00000124172	ATP5E	-6.716888380946385	6.3510937387086085e-9	1.2122784280500276e-6	significant
ENSG00000125755	SYMPK	-6.687625335977405	6.3510937387086085e-9	1.2122784280500276e-6	significant
ENSG00000125835	SNRPB	-7.687012389864705	4.543341635212494e-9	1.2122784280500276e-6	significant
ENSG00000126749	EMG1	-6.794093028902029	6.3510937387086085e-9	1.2122784280500276e-6	significant
ENSG00000128626	MRPS12	-7.260089456291561	5.0817484477748995e-9	1.2122784280500276e-6	significant
ENSG00000130520	LSM4	-7.22436022483294	5.682038851223568e-9	1.2122784280500276e-6	significant
ENSG00000131462	TUBG1	-7.800122630047822	5.0817484477748995e-9	1.2122784280500276e-6	significant
ENSG00000132646	PCNA	-8.031569043453013	4.543341635212494e-9	1.2122784280500276e-6	significant
ENSG00000133706	LARS	-8.303437232414936	3.24027213570746e-9	1.2122784280500276e-6	significant
ENSG00000135624	CCT7	-8.52784566254216	3.24027213570746e-9	1.2122784280500276e-6	significant
ENSG00000136628	EPRS	-7.496000580154216	4.543341635212494e-9	1.2122784280500276e-6	significant
ENSG00000137154	RPS6	-7.425866613881991	5.0817484477748995e-9	1.2122784280500276e-6	significant
ENSG00000137815	RTF1	-6.704381007003724	6.3510937387086085e-9	1.2122784280500276e-6	significant
ENSG00000137876	RSL24D1	-7.460717923553204	4.543341635212494e-9	1.2122784280500276e-6	significant
ENSG00000138073	PREB	-7.650401735672121	3.24027213570746e-9	1.2122784280500276e-6	significant
ENSG00000138346	DNA2	-7.176576781624501	5.0817484477748995e-9	1.2122784280500276e-6	significant
ENSG00000139343	SNRPF	-7.194189256667807	4.060606193425142e-9	1.2122784280500276e-6	significant
ENSG00000139350	NEDD1	-7.059956322425367	5.682038851223568e-9	1.2122784280500276e-6	significant
ENSG00000141759	TXNL4A	-7.400407599407552	4.543341635212494e-9	1.2122784280500276e-6	significant
ENSG00000142541	RPL13A	-7.179871523054876	5.682038851223568e-9	1.2122784280500276e-6	significant
ENSG00000142751	GPN2	-7.294297390751443	7.09653184113775e-9	1.2122784280500276e-6	significant
ENSG00000142937	RPS8	-6.634827091534918	7.926785733846252e-9	1.2122784280500276e-6	significant
ENSG00000143106	PSMA5	-6.63270061043628	4.543341635212494e-9	1.2122784280500276e-6	significant
ENSG00000143256	PFDN2	-7.356966612467429	5.0817484477748995e-9	1.2122784280500276e-6	significant
ENSG00000143624	INTS3	-8.322636980291085	4.060606193425142e-9	1.2122784280500276e-6	significant
ENSG00000143748	NVL	-7.269782074885778	5.0817484477748995e-9	1.2122784280500276e-6	significant
ENSG00000145833	DDX46	-7.592492944671396	5.682038851223568e-9	1.2122784280500276e-6	significant
ENSG00000146918	NCAPG2	-7.375667219203428	4.543341635212494e-9	1.2122784280500276e-6	significant
ENSG00000147403	RPL10	-6.613680453140998	7.09653184113775e-9	1.2122784280500276e-6	significant
ENSG00000148297	MED22	-7.138678075685889	4.543341635212494e-9	1.2122784280500276e-6	significant
ENSG00000149925	ALDOA	-7.846105202224251	3.24027213570746e-9	1.2122784280500276e-6	significant
ENSG00000151465	CDC123	-6.770305047268107	7.926785733846252e-9	1.2122784280500276e-6	significant
ENSG00000154473	BUB3	-7.646386394880981	3.6279356619315613e-9	1.2122784280500276e-6	significant
ENSG00000157106	SMG1	-7.568935969610649	3.24027213570746e-9	1.2122784280500276e-6	significant
ENSG00000159079	C21orf59	-7.936640021734915	3.24027213570746e-9	1.2122784280500276e-6	significant
ENSG00000159377	PSMB4	-7.552707892497764	5.0817484477748995e-9	1.2122784280500276e-6	significant
ENSG00000161888	SPC24	-7.939595166239955	4.060606193425142e-9	1.2122784280500276e-6	significant
ENSG00000162244	RPL29	-6.234105329755494	7.09653184113775e-9	1.2122784280500276e-6	significant
ENSG00000164880	INTS1	-6.9453970382576555	7.09653184113775e-9	1.2122784280500276e-6	significant
ENSG00000165280	VCP	-6.476155155183262	7.09653184113775e-9	1.2122784280500276e-6	significant
ENSG00000165688	PMPCA	-7.825352850417683	4.060606193425142e-9	1.2122784280500276e-6	significant
ENSG00000165934	CPSF2	-9.213730220005413	3.24027213570746e-9	1.2122784280500276e-6	significant
ENSG00000166847	DCTN5	-7.246218325383382	4.060606193425142e-9	1.2122784280500276e-6	significant
ENSG00000167088	SNRPD1	-7.608112114012637	3.24027213570746e-9	1.2122784280500276e-6	significant
ENSG00000168906	MAT2A	-7.5111437829607395	4.543341635212494e-9	1.2122784280500276e-6	significant
ENSG00000170860	LSM3	-6.925587829749114	4.543341635212494e-9	1.2122784280500276e-6	significant
ENSG00000171453	POLR1C	-8.069767381204413	3.24027213570746e-9	1.2122784280500276e-6	significant
ENSG00000172053	QARS	-7.088835862132332	7.926785733846252e-9	1.2122784280500276e-6	significant
ENSG00000172273	HINFP	-7.228763187087882	4.543341635212494e-9	1.2122784280500276e-6	significant
ENSG00000172650	AGAP5	-6.572058784237137	7.926785733846252e-9	1.2122784280500276e-6	significant
ENSG00000174231	PRPF8	-7.231253033531353	5.682038851223568e-9	1.2122784280500276e-6	significant
ENSG00000175334	BANF1	-7.350872933267846	4.060606193425142e-9	1.2122784280500276e-6	significant
ENSG00000176108	CHMP6	-7.787704669405706	4.060606193425142e-9	1.2122784280500276e-6	significant
ENSG00000176248	ANAPC2	-7.935562316065916	3.24027213570746e-9	1.2122784280500276e-6	significant
ENSG00000178999	AURKB	-7.071071068604188	7.926785733846252e-9	1.2122784280500276e-6	significant
ENSG00000181789	COPG1	-6.293608202489045	6.3510937387086085e-9	1.2122784280500276e-6	significant
ENSG00000182004	SNRPE	-8.041436148566678	3.24027213570746e-9	1.2122784280500276e-6	significant
ENSG00000183207	RUVBL2	-7.442284829380826	4.543341635212494e-9	1.2122784280500276e-6	significant
ENSG00000184209	SNRNP35	-7.164404358186368	6.3510937387086085e-9	1.2122784280500276e-6	significant
ENSG00000185024	BRF1	-7.629266515190018	6.3510937387086085e-9	1.2122784280500276e-6	significant
ENSG00000185651	UBE2L3	-7.166694504808897	4.543341635212494e-9	1.2122784280500276e-6	significant
ENSG00000186166	CCDC84	-7.603099835018676	3.24027213570746e-9	1.2122784280500276e-6	significant
ENSG00000188342	GTF2F2	-7.592735538183306	7.926785733846252e-9	1.2122784280500276e-6	significant
ENSG00000189306	RRP7A	-7.420329606145964	4.543341635212494e-9	1.2122784280500276e-6	significant
ENSG00000196305	IARS	-7.131587145371366	5.682038851223568e-9	1.2122784280500276e-6	significant
ENSG00000198242	RPL23A	-6.580000129104208	6.3510937387086085e-9	1.2122784280500276e-6	significant
ENSG00000204394	VARS	-7.350255602319905	5.0817484477748995e-9	1.2122784280500276e-6	significant
ENSG00000204560	DHX16	-7.221046217969338	4.543341635212494e-9	1.2122784280500276e-6	significant
ENSG00000205659	LIN52	-6.618827291131669	5.682038851223568e-9	1.2122784280500276e-6	significant
ENSG00000047315	POLR2B	-6.406451832538377	8.851185328484307e-9	1.2171625749263262e-6	significant
ENSG00000062650	WAPAL	-6.641365350978591	1.1024786963369553e-8	1.2171625749263262e-6	significant
ENSG00000067704	IARS2	-6.211148585069584	8.851185328484307e-9	1.2171625749263262e-6	significant
ENSG00000071994	PDCD2	-6.905298992059992	9.880049550384765e-9	1.2171625749263262e-6	significant
ENSG00000072756	TRNT1	-6.273148548164333	1.1024786963369553e-8	1.2171625749263262e-6	significant
ENSG00000099783	HNRNPM	-6.228509615137591	1.1024786963369553e-8	1.2171625749263262e-6	significant
ENSG00000100479	POLE2	-7.163920400577562	9.880049550384765e-9	1.2171625749263262e-6	significant
ENSG00000104408	EIF3E	-6.824143210140264	1.1024786963369553e-8	1.2171625749263262e-6	significant
ENSG00000112118	MCM3	-5.9258602366663675	1.1024786963369553e-8	1.2171625749263262e-6	significant
ENSG00000117748	RPA2	-6.290699462415457	1.1024786963369553e-8	1.2171625749263262e-6	significant
ENSG00000119285	HEATR1	-6.992843251042802	9.880049550384765e-9	1.2171625749263262e-6	significant
ENSG00000119718	EIF2B2	-6.3005488043150795	8.851185328484307e-9	1.2171625749263262e-6	significant
ENSG00000120438	TCP1	-6.694953452453488	8.851185328484307e-9	1.2171625749263262e-6	significant
ENSG00000122484	RPAP2	-7.032798553115151	1.1024786963369553e-8	1.2171625749263262e-6	significant
ENSG00000125352	RNF113A	-6.805934018211522	8.851185328484307e-9	1.2171625749263262e-6	significant
ENSG00000125630	POLR1B	-6.498287654747448	9.880049550384765e-9	1.2171625749263262e-6	significant
ENSG00000129347	KRI1	-6.463164156842264	1.1024786963369553e-8	1.2171625749263262e-6	significant
ENSG00000129562	DAD1	-6.375354410204114	1.1024786963369553e-8	1.2171625749263262e-6	significant
ENSG00000131732	ZCCHC9	-6.334285173204775	1.1024786963369553e-8	1.2171625749263262e-6	significant
ENSG00000132341	RAN	-6.620184131465478	8.851185328484307e-9	1.2171625749263262e-6	significant
ENSG00000133119	RFC3	-6.179114200197625	1.1024786963369553e-8	1.2171625749263262e-6	significant
ENSG00000136824	SMC2	-6.27901815387952	1.1024786963369553e-8	1.2171625749263262e-6	significant
ENSG00000137817	PARP6	-6.0213030096576805	1.1024786963369553e-8	1.2171625749263262e-6	significant
ENSG00000138448	ITGAV	-6.525831049946921	9.880049550384765e-9	1.2171625749263262e-6	significant
ENSG00000142207	URB1	-6.874089232134489	8.851185328484307e-9	1.2171625749263262e-6	significant
ENSG00000142230	SAE1	-6.456813587286426	1.1024786963369553e-8	1.2171625749263262e-6	significant
ENSG00000144381	HSPD1	-5.755440139487286	9.880049550384765e-9	1.2171625749263262e-6	significant
ENSG00000146143	PRIM2	-6.931703126915622	1.1024786963369553e-8	1.2171625749263262e-6	significant
ENSG00000149503	INCENP	-6.26106028559871	1.1024786963369553e-8	1.2171625749263262e-6	significant
ENSG00000152942	RAD17	-6.0782365807228675	1.1024786963369553e-8	1.2171625749263262e-6	significant
ENSG00000162521	RBBP4	-6.388938485807601	9.880049550384765e-9	1.2171625749263262e-6	significant
ENSG00000163468	CCT3	-6.442892439139706	1.1024786963369553e-8	1.2171625749263262e-6	significant
ENSG00000165732	DDX21	-6.55407470472631	9.880049550384765e-9	1.2171625749263262e-6	significant
ENSG00000166508	MCM7	-6.467023968986436	9.880049550384765e-9	1.2171625749263262e-6	significant
ENSG00000167085	PHB	-6.185487654312096	8.851185328484307e-9	1.2171625749263262e-6	significant
ENSG00000167978	SRRM2	-6.249386032255832	9.880049550384765e-9	1.2171625749263262e-6	significant
ENSG00000172315	TP53RK	-6.579845822239937	9.880049550384765e-9	1.2171625749263262e-6	significant
ENSG00000173540	GMPPB	-6.467499362200897	8.851185328484307e-9	1.2171625749263262e-6	significant
ENSG00000177084	POLE	-5.839750320276481	1.1024786963369553e-8	1.2171625749263262e-6	significant
ENSG00000177600	RPLP2	-6.6918112982512765	8.851185328484307e-9	1.2171625749263262e-6	significant
ENSG00000179115	FARSA	-6.612923719506099	8.851185328484307e-9	1.2171625749263262e-6	significant
ENSG00000181938	GINS3	-6.399442800454839	9.880049550384765e-9	1.2171625749263262e-6	significant
ENSG00000182149	IST1	-6.7454972519443634	1.1024786963369553e-8	1.2171625749263262e-6	significant
ENSG00000196367	TRRAP	-6.23837087968501	1.1024786963369553e-8	1.2171625749263262e-6	significant
ENSG00000197728	RPS26	-6.7896076619502566	8.851185328484307e-9	1.2171625749263262e-6	significant
ENSG00000211456	SACM1L	-6.2697459669056705	9.880049550384765e-9	1.2171625749263262e-6	significant
ENSG00000277791	NA	-6.462369343886846	9.880049550384765e-9	1.2171625749263262e-6	significant
AAVS1	NA	-1.7869072550661715	1.2338700024262586e-8	1.271908646699952e-6	significant
ENSG00000001497	LAS1L	-5.984140017237965	1.2298006170706918e-8	1.271908646699952e-6	significant
ENSG00000092201	SUPT16H	-6.0074927772865445	1.1644228030955414e-8	1.271908646699952e-6	significant
ENSG00000105298	CACTIN	-7.012795604538692	1.2298006170706918e-8	1.271908646699952e-6	significant
ENSG00000125449	ARMC7	-5.761777088470757	1.2298006170706918e-8	1.271908646699952e-6	significant
ENSG00000131269	ABCB7	-5.784057695858138	1.2298006170706918e-8	1.271908646699952e-6	significant
ENSG00000163634	THOC7	-6.551683629745999	1.2298006170706918e-8	1.271908646699952e-6	significant
ENSG00000167658	EEF2	-6.903887758408716	1.2298006170706918e-8	1.271908646699952e-6	significant
ENSG00000173145	NOC3L	-7.200466667371087	1.2298006170706918e-8	1.271908646699952e-6	significant
ENSG00000185085	INTS5	-5.982080445063934	1.2298006170706918e-8	1.271908646699952e-6	significant
ENSG00000188612	SUMO2	-6.595633752188568	1.2298006170706918e-8	1.271908646699952e-6	significant
ENSG00000244005	NFS1	-7.305411561755273	1.2298006170706918e-8	1.271908646699952e-6	significant
ENSG00000061455	PRDM6	-6.155261008490305	1.371363689311638e-8	1.2922678644028556e-6	significant
ENSG00000089289	IGBP1	-5.978093511567081	1.371363689311638e-8	1.2922678644028556e-6	significant
ENSG00000094880	CDC23	-6.497541165141598	1.371363689311638e-8	1.2922678644028556e-6	significant
ENSG00000099957	P2RX6	-6.121751970463874	1.371363689311638e-8	1.2922678644028556e-6	significant
ENSG00000100567	PSMA3	-6.531735494242089	1.371363689311638e-8	1.2922678644028556e-6	significant
ENSG00000102898	NUTF2	-6.8306059555680685	1.371363689311638e-8	1.2922678644028556e-6	significant
ENSG00000102974	CTCF	-5.850210149731457	1.371363689311638e-8	1.2922678644028556e-6	significant
ENSG00000111361	EIF2B1	-6.036543948899322	1.371363689311638e-8	1.2922678644028556e-6	significant
ENSG00000117408	IPO13	-6.795224328123713	1.371363689311638e-8	1.2922678644028556e-6	significant
ENSG00000129083	COPB1	-6.001227722393485	1.371363689311638e-8	1.2922678644028556e-6	significant
ENSG00000129534	MIS18BP1	-7.0333027460213575	1.371363689311638e-8	1.2922678644028556e-6	significant
ENSG00000138768	USO1	-5.871428296848394	1.371363689311638e-8	1.2922678644028556e-6	significant
ENSG00000151657	KIN	-5.964565655417659	1.371363689311638e-8	1.2922678644028556e-6	significant
ENSG00000152234	ATP5A1	-6.011583647878928	1.371363689311638e-8	1.2922678644028556e-6	significant
ENSG00000152904	GGPS1	-6.545509179605255	1.371363689311638e-8	1.2922678644028556e-6	significant
ENSG00000174446	SNAPC5	-6.348164013131213	1.371363689311638e-8	1.2922678644028556e-6	significant
ENSG00000177971	IMP3	-6.169621844322263	1.371363689311638e-8	1.2922678644028556e-6	significant
ENSG00000099341	PSMD8	-5.969504256150748	1.5287062702743105e-8	1.3913464190623455e-6	significant
ENSG00000104897	SF3A2	-5.826201387298058	1.5287062702743105e-8	1.3913464190623455e-6	significant
ENSG00000105401	CDC37	-6.521843326073563	1.5287062702743105e-8	1.3913464190623455e-6	significant
ENSG00000107371	EXOSC3	-5.725069278406239	1.5287062702743105e-8	1.3913464190623455e-6	significant
ENSG00000167074	TEF	-5.852648493397044	1.5287062702743105e-8	1.3913464190623455e-6	significant
ENSG00000170312	CDK1	-6.42863560710409	1.5287062702743105e-8	1.3913464190623455e-6	significant
ENSG00000172167	MTBP	-6.007636285052445	1.5287062702743105e-8	1.3913464190623455e-6	significant
ENSG00000100121	GGTLC2	-5.920545518907158	1.7035266476309495e-8	1.464718902834021e-6	significant
ENSG00000105671	DDX49	-6.36041909217469	1.7035266476309495e-8	1.464718902834021e-6	significant
ENSG00000111707	SUDS3	-5.905658780630615	1.7035266476309495e-8	1.464718902834021e-6	significant
ENSG00000113013	HSPA9	-6.760017460967586	1.7035266476309495e-8	1.464718902834021e-6	significant
ENSG00000120253	NUP43	-5.955416461847125	1.7035266476309495e-8	1.464718902834021e-6	significant
ENSG00000120699	EXOSC8	-6.065524851487177	1.7035266476309495e-8	1.464718902834021e-6	significant
ENSG00000130204	TOMM40	-6.452499327699501	1.7035266476309495e-8	1.464718902834021e-6	significant
ENSG00000135763	URB2	-6.376821907675513	1.7035266476309495e-8	1.464718902834021e-6	significant
ENSG00000145592	RPL37	-6.221598979844398	1.7035266476309495e-8	1.464718902834021e-6	significant
ENSG00000170445	HARS	-6.767964659116342	1.7035266476309495e-8	1.464718902834021e-6	significant
ENSG00000180228	PRKRA	-5.512571172866987	1.7035266476309495e-8	1.464718902834021e-6	significant
ENSG00000205937	RNPS1	-5.5076144477914095	1.7035266476309495e-8	1.464718902834021e-6	significant
ENSG00000005156	LIG3	-5.790143581786709	1.897698972166363e-8	1.5066922307523405e-6	significant
ENSG00000106459	NRF1	-5.811273667275242	1.897698972166363e-8	1.5066922307523405e-6	significant
ENSG00000108298	RPL19	-5.937723310961026	1.897698972166363e-8	1.5066922307523405e-6	significant
ENSG00000114391	RPL24	-5.814392227740881	1.897698972166363e-8	1.5066922307523405e-6	significant
ENSG00000124562	SNRPC	-6.362617352724069	1.897698972166363e-8	1.5066922307523405e-6	significant
ENSG00000124659	TBCC	-5.615735180508218	1.897698972166363e-8	1.5066922307523405e-6	significant
ENSG00000128908	INO80	-5.5339098636480575	1.897698972166363e-8	1.5066922307523405e-6	significant
ENSG00000129460	NGDN	-5.63411919784576	1.897698972166363e-8	1.5066922307523405e-6	significant
ENSG00000131174	COX7B	-5.910218958470912	1.897698972166363e-8	1.5066922307523405e-6	significant
ENSG00000136875	PRPF4	-5.424382577415891	1.897698972166363e-8	1.5066922307523405e-6	significant
ENSG00000154803	FLCN	-5.799812117560607	1.897698972166363e-8	1.5066922307523405e-6	significant
ENSG00000155959	VBP1	-6.14666677080211	1.897698972166363e-8	1.5066922307523405e-6	significant
ENSG00000158526	TSR2	-6.271128985868774	1.897698972166363e-8	1.5066922307523405e-6	significant
ENSG00000162613	FUBP1	-5.613485755863406	1.897698972166363e-8	1.5066922307523405e-6	significant
ENSG00000169258	GPRIN1	-5.763450190797609	1.897698972166363e-8	1.5066922307523405e-6	significant
ENSG00000169727	GPS1	-5.751594432206678	1.897698972166363e-8	1.5066922307523405e-6	significant
ENSG00000172339	ALG14	-5.608160912422879	1.897698972166363e-8	1.5066922307523405e-6	significant
ENSG00000273611	NA	-5.528744569376391	1.897698972166363e-8	1.5066922307523405e-6	significant
ENSG00000077514	POLD3	-5.426639349612408	2.1132907030160214e-8	1.5709074875248178e-6	significant
ENSG00000089685	BIRC5	-6.625360497929954	2.1132907030160214e-8	1.5709074875248178e-6	significant
ENSG00000109917	ZNF259	-6.121191135852711	2.1132907030160214e-8	1.5709074875248178e-6	significant
ENSG00000112742	TTK	-5.319539942711525	2.1132907030160214e-8	1.5709074875248178e-6	significant
ENSG00000125676	THOC2	-5.423786138937132	2.1132907030160214e-8	1.5709074875248178e-6	significant
ENSG00000135829	DHX9	-5.704640545661612	2.1132907030160214e-8	1.5709074875248178e-6	significant
ENSG00000138231	DBR1	-5.737441993957668	2.1132907030160214e-8	1.5709074875248178e-6	significant
ENSG00000143751	SDE2	-5.975533260435726	2.1132907030160214e-8	1.5709074875248178e-6	significant
ENSG00000146731	CCT6A	-7.221852358910891	2.1132907030160214e-8	1.5709074875248178e-6	significant
ENSG00000147854	UHRF2	-5.70125901154423	2.1132907030160214e-8	1.5709074875248178e-6	significant
ENSG00000159479	MED8	-6.053352334790663	2.1132907030160214e-8	1.5709074875248178e-6	significant
ENSG00000163832	ELP6	-6.00855793724691	2.1132907030160214e-8	1.5709074875248178e-6	significant
ENSG00000166912	MTMR10	-5.227838198233109	2.1132907030160214e-8	1.5709074875248178e-6	significant
ENSG00000198900	TOP1	-5.843411198709138	2.1132907030160214e-8	1.5709074875248178e-6	significant
ENSG00000243725	TTC4	-6.355090374412456	2.1132907030160214e-8	1.5709074875248178e-6	significant
ENSG00000244038	DDOST	-6.172038563118941	2.1132907030160214e-8	1.5709074875248178e-6	significant
ENSG00000066136	NFYC	-5.002142632164795	2.3525817013253696e-8	1.6439876173531366e-6	significant
ENSG00000073536	NLE1	-5.3877609324133	2.3525817013253696e-8	1.6439876173531366e-6	significant
ENSG00000076003	MCM6	-5.767387466254899	2.3525817013253696e-8	1.6439876173531366e-6	significant
ENSG00000079805	DNM2	-5.51251791405452	2.3525817013253696e-8	1.6439876173531366e-6	significant
ENSG00000100216	TOMM22	-5.522947047931401	2.3525817013253696e-8	1.6439876173531366e-6	significant
ENSG00000100764	PSMC1	-6.503580205748137	2.3525817013253696e-8	1.6439876173531366e-6	significant
ENSG00000105176	URI1	-5.47710068678768	2.3525817013253696e-8	1.6439876173531366e-6	significant
ENSG00000117543	DPH5	-5.416232559537178	2.3525817013253696e-8	1.6439876173531366e-6	significant
ENSG00000140830	TXNL4B	-5.706035987611549	2.3525817013253696e-8	1.6439876173531366e-6	significant
ENSG00000141030	COPS3	-5.517611819650829	2.3525817013253696e-8	1.6439876173531366e-6	significant
ENSG00000142025	DMRTC2	-5.176574696988311	2.3525817013253696e-8	1.6439876173531366e-6	significant
ENSG00000145386	CCNA2	-5.927633702708964	2.3525817013253696e-8	1.6439876173531366e-6	significant
ENSG00000163510	CWC22	-6.585606225069165	2.3525817013253696e-8	1.6439876173531366e-6	significant
ENSG00000164053	ATRIP	-5.792879390167004	2.3525817013253696e-8	1.6439876173531366e-6	significant
ENSG00000183751	TBL3	-6.606421665881237	2.3525817013253696e-8	1.6439876173531366e-6	significant
ENSG00000184967	NOC4L	-5.827922752125221	2.3525817013253696e-8	1.6439876173531366e-6	significant
ENSG00000087470	DNM1L	-5.542760207560562	2.618085119589491e-8	1.7762993513200263e-6	significant
ENSG00000119392	GLE1	-6.465787369167833	2.618085119589491e-8	1.7762993513200263e-6	significant
ENSG00000151923	TIAL1	-5.449877190876682	2.618085119589491e-8	1.7762993513200263e-6	significant
ENSG00000153187	HNRNPU	-5.80354424788034	2.618085119589491e-8	1.7762993513200263e-6	significant
ENSG00000163946	FAM208A	-5.4102514779506885	2.618085119589491e-8	1.7762993513200263e-6	significant
ENSG00000166226	CCT2	-5.392626951935479	2.618085119589491e-8	1.7762993513200263e-6	significant
ENSG00000166349	RAG1	-5.2924774192100745	2.618085119589491e-8	1.7762993513200263e-6	significant
ENSG00000178896	EXOSC4	-5.225782001289167	2.618085119589491e-8	1.7762993513200263e-6	significant
ENSG00000071894	CPSF1	-5.723700117448093	2.9125702462391408e-8	1.9067626545378909e-6	significant
ENSG00000108244	KRT23	-5.872581594599451	2.9125702462391408e-8	1.9067626545378909e-6	significant
ENSG00000110367	DDX6	-5.806320757255867	2.9125702462391408e-8	1.9067626545378909e-6	significant
ENSG00000113712	CSNK1A1	-5.2777668221329614	2.9125702462391408e-8	1.9067626545378909e-6	significant
